TeamId,Name,Tag,Region,EstablishedDate
4010559,Team Quetzal,QzL,Unknown,2000-01-01
7284811,No Fucking Name,NFN,Unknown,2000-01-01
367492,Revenge-,RvG,Unknown,2000-01-01
3968479,PODKONÍ A KRÁVA,PaK,Unknown,2000-01-01
8726547,Deboosters,,Unknown,2000-01-01
8070452,Team Caspium,CASPIUM,Unknown,2000-01-01
7819028,4 Zoomers,4Zs,Unknown,2000-01-01
1589592,Balkan Bears Corleone,BBC,Unknown,2000-01-01
7599541,Holy Masters,HM,Unknown,2000-01-01
7851888,CZC.eSuba,eSuba,Unknown,2000-01-01
8713367,Vanguard 36,V36,Unknown,2000-01-01
5028104,VGJ Storm,VGJ,Unknown,2000-01-01
7554277,jakiro,,Unknown,2000-01-01
7794384,QuestionMark,Hashtag?,Unknown,2000-01-01
672504,Hurricane Festival,HF,Unknown,2000-01-01
992400,Team Underminer,UDMN,Unknown,2000-01-01
6492310,KAMI TAMPAN SEKALI,KATSE,Unknown,2000-01-01
2833068,GodGenesis,Gg,Unknown,2000-01-01
10108600,Clown Crew,CC,Unknown,2000-01-01
8732747,LUNA GAMING,LUNA,Unknown,2000-01-01
7316976,Whoops!,Whoops!,Unknown,2000-01-01
10088186,Teiko,Teiko,Unknown,2000-01-01
1325243,Team Phoenix Rising,PHX,Unknown,2000-01-01
5148271,Minas Club,Minas,Unknown,2000-01-01
4253054,Team Random,Random,Unknown,2000-01-01
6761014,Aging Rapu,AR,Unknown,2000-01-01
8502728,KPFU-2,ICMIT,Unknown,2000-01-01
8597183,Summit Gaming,Summit,Unknown,2000-01-01
8680140,Team ScorpioN,,Unknown,2000-01-01
8944766,TRocket,TrT,Unknown,2000-01-01
9476618,MBA,MBA,Unknown,2000-01-01
8686786,Ravens,Ravens,Unknown,2000-01-01
10129270,минибарса,,Unknown,2000-01-01
8360860,HF,HF,Unknown,2000-01-01
1115421,BBUBU+4,Pensiunn,Unknown,2000-01-01
5076975,New Beginning,NB,Unknown,2000-01-01
8574375,ThunderCoast,,Unknown,2000-01-01
